Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Year
72,Anders Nilsson\nilssan01,23,NYI,19,17,8,7,2,57,548,491,0.896,3.11,0,2.1,1101,6,0.353,4,121,-9.78,0,0,0,2,2014
73,Cristopher Nilstorp\nihlsch01,29,DAL,1,0,,,,3,17,14,0.824,4.56,0,-0.1,39,0,,0,,,0,0,0,0,2014
74,Joni Ortio\ortiojo01,22,CGY,9,9,4,4,0,21,193,172,0.891,2.52,0,0.6,501,3,0.333,1,,,0,2,2,0,2014
75,Ondrej Pavelec\pavelon01,26,WPG,57,57,22,26,7,163,1644,1481,0.901,3.01,1,7.4,3248,24,0.421,12,115,-21.34,0,3,3,0,2014
76,Justin Peters\peterju01,27,CAR,21,20,7,9,4,51,626,575,0.919,2.5,1,4.1,1225,11,0.55,3,95,2.94,0,2,2,4,2014
77,Kevin Poulin\poulike01,23,NYI,28,26,11,16,1,89,820,731,0.891,3.29,0,2.8,1625,8,0.308,8,126,-18.34,0,0,0,0,2014
78,Carey Price\priceca01,26,MTL,59,59,34,20,5,134,1828,1694,0.927,2.32,6,13.9,3464,38,0.644,7,85,23.51,0,2,2,4,2014
79,Jonathan Quick\quickjo01,28,LAK,49,49,27,17,4,100,1183,1083,0.915,2.07,6,7.4,2904,26,0.531,6,98,1.93,0,2,2,2,2014
80,Antti Raanta\raantan01,24,CHI,25,22,13,5,4,63,610,547,0.897,2.71,1,2.4,1397,12,0.545,6,120,-10.44,0,1,1,0,2014
81,Karri Ramo\ramoka01,27,CGY,40,37,17,15,4,97,1091,994,0.911,2.65,2,6.2,2194,19,0.514,5,103,-2.99,0,1,1,10,2014
82,Tuukka Rask\rasktu01,26,BOS,58,58,36,15,6,115,1641,1526,0.93,2.04,7,13.1,3386,39,0.672,8,81,26.4,0,2,2,2,2014
83,James Reimer\reimeja01,25,TOR,36,32,12,16,1,97,1094,997,0.911,3.26,1,6.3,1785,16,0.5,8,103,-2.73,0,0,0,2,2014
84,Pekka Rinne\rinnepe01,31,NSH,24,24,10,10,3,63,645,582,0.902,2.77,2,3,1367,12,0.5,8,113,-7.42,0,0,0,0,2014
85,Cory Schneider\schneco01,27,NJD,45,43,16,15,12,88,1107,1019,0.921,1.97,3,7.6,2680,25,0.581,4,92,7.39,0,0,0,4,2014
86,Ben Scrivens\scrivbe01,27,TOT,40,35,16,16,4,94,1205,1111,0.922,2.55,4,8.5,2210,22,0.629,3,91,9.83,0,1,1,6,2014
86,Ben Scrivens\scrivbe01,27,EDM,21,20,9,11,0,62,741,679,0.916,3.01,1,4.7,1235,12,0.6,3,97,1.85,0,0,0,6,2014
86,Ben Scrivens\scrivbe01,27,LAK,19,15,7,5,4,32,464,432,0.931,1.97,3,3.8,975,10,0.667,0,80,7.98,0,1,1,0,2014
87,Kent Simpson\simpske01,21,CHI,1,0,,,,2,7,5,0.714,6,0,-0.1,20,0,,0,,,0,0,0,0,2014
88,Mike Smith\smithmi01,31,PHX,62,61,27,21,10,159,1871,1712,0.915,2.64,3,11.6,3610,35,0.574,5,99,2.22,1,3,4,14,2014
89,Alex Stalock\staloal01,26,SJS,24,18,12,5,2,39,571,532,0.932,1.87,2,4.7,1252,12,0.667,1,79,10.2,0,0,0,2,2014
90,Niklas Svedberg\svedbni01,24,BOS,1,1,1,0,0,2,35,33,0.943,1.97,0,0.3,61,1,1,0,,,0,0,0,0,2014
91,Cam Talbot\talboca01,26,NYR,21,19,12,6,1,33,560,527,0.941,1.64,3,5.2,1211,16,0.842,0,68,15.25,0,0,0,0,2014
92,Tim Thomas\thomati01,39,TOT,48,45,18,24,4,128,1390,1262,0.908,2.88,0,7.4,2663,25,0.556,7,107,-8.23,0,1,1,4,2014
92,Tim Thomas\thomati01,39,FLA,40,40,16,20,3,110,1206,1096,0.909,2.87,0,6.6,2299,23,0.575,6,106,-6.08,0,1,1,4,2014
