Teams,AvAge,GP,W,L,OL,PTS,PTS.,GF,GA,SOW,SOL,SRS,SOS,TGpG,EVGF,EVGA,PP,PPO,PP.,PPA,PPOA,PK.,SH,SHA,PIMpG,oPIMpG,S,S.,SA,SV.,SO,EVS.,EVSV.,EVPDO,EVCF,EVCA,EVCF.,EVFF,EVFA,EVFF.,EVxGF,EVxGA,EVaGF,EVaGA,EVaxDiff,EVSCF,EVSCA,EVSCF.,EVHDF,EVHDA,EVHDF.,EVHDGF,EVHDC.,EVHDGA,EVHDCO.,Year
Pittsburgh Penguins*,27.7,82,47,29,6,100,0.61,270,248,2,2,0.23,-0.04,6.32,196,192,68,260,26.15,53,265,80,6,3,9.5,9.1,2823,9.6,2553,0.903,4,6.7,0.918,98.5,3969,3622,52.3,3016,2665,53.1,200.7,175.8,161,176,-40,1817,1661,52.2,398,364,52.2,59,12.9,68,15.7,2018
Los Angeles Kings*,29.1,82,45,29,8,98,0.598,237,202,2,1,0.44,0,5.35,183,159,49,240,20.42,39,260,85,5,4,9,8.3,2544,9.3,2537,0.92,8,7.4,0.936,101,3695,3692,50,2739,2771,49.7,155.4,160.9,155,134,27,1619,1626,49.9,324,346,48.4,55,14.5,46,11.7,2018
Philadelphia Flyers*,27.4,82,42,26,14,98,0.598,249,236,2,7,0.07,-0.03,5.91,192,172,54,261,20.69,54,223,75.78,3,10,8.3,9,2631,9.5,2448,0.904,3,7.3,0.93,100.3,3662,3705,49.7,2737,2729,50.1,170.2,164.4,158,145,7,1488,1669,47.1,353,337,51.2,70,16.5,67,16.6,2018
New Jersey Devils*,27.7,82,44,29,9,97,0.591,243,240,5,4,0.02,-0.03,5.89,177,187,54,252,21.43,47,258,81.78,12,6,8.5,8.4,2599,9.3,2616,0.908,2,7.3,0.924,99.7,3586,3797,48.6,2769,2881,49,178.6,172.5,160,167,-13,1624,1659,49.5,352,322,52.2,67,16,61,15.9,2018
Columbus Blue Jackets*,26.4,82,45,30,7,97,0.591,236,226,6,4,0.11,-0.04,5.63,193,168,39,227,17.18,51,214,76.17,4,7,6.9,7.3,2761,8.5,2567,0.912,5,6.9,0.933,100.2,4049,3815,51.5,3106,2799,52.6,194.7,186.8,169,149,12,1865,1724,52,379,393,49.1,62,14.1,50,11.3,2018
Florida Panthers,27.8,82,44,30,8,96,0.585,245,243,3,3,-0.01,-0.04,5.95,188,193,47,249,18.88,45,227,80.18,10,5,11,11.7,2822,8.7,2838,0.914,7,7.1,0.929,100,3803,3927,49.2,2966,2963,50,177.4,184.8,167,168,6,1676,1664,50.2,322,373,46.3,59,15.5,61,14.1,2018
Colorado Avalanche*,26.4,82,43,30,9,95,0.579,255,236,2,1,0.28,0.04,5.99,183,178,65,296,21.96,45,269,83.27,7,13,8.9,9.8,2432,10.5,2731,0.914,5,7.6,0.936,101.3,3491,3842,47.6,2530,2847,47.1,149,170.1,152,140,33,1490,1659,47.3,281,359,43.9,41,12.7,57,13.7,2018
St. Louis Blues,28.5,82,44,32,6,94,0.573,223,222,3,0,0.1,0.05,5.43,180,166,38,246,15.45,47,231,79.65,5,9,7.7,8.2,2677,8.3,2438,0.909,4,6.7,0.933,100,3895,3639,51.7,2893,2597,52.7,168.9,164.5,150,138,8,1616,1565,50.8,340,335,50.4,49,12.6,55,14.1,2018
Dallas Stars,28.5,82,42,32,8,92,0.561,231,222,4,3,0.17,0.04,5.52,177,158,47,244,19.26,54,281,80.78,7,10,10.1,9.6,2560,9,2447,0.909,6,7.1,0.932,100.3,3727,3578,51,2681,2566,51.1,170.6,149.5,148,135,-8,1652,1506,52.3,343,288,54.4,48,12.3,38,11.7,2018
Calgary Flames,28.4,82,37,35,10,84,0.512,216,243,2,5,-0.33,0.03,5.6,166,187,43,269,15.99,49,269,81.78,7,7,11.1,11.2,2759,7.8,2554,0.905,3,6.4,0.925,98.9,4176,3630,53.5,3126,2738,53.3,177.8,161.4,147,158,-27,1788,1573,53.2,404,355,53.2,48,10.6,57,13.8,2018
