Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
724,Wayne Simmonds\simmowa01,31,NJD,RW,58,7,16,23,-16,60,1,3,4,0,1,12,4,0,105,6.7,886,15:17,25,123,28,43,39.4
725,Dominik Simon\simondo01,25,PIT,C,57,7,15,22,-5,12,1.3,7,0,0,0,14,1,0,93,7.5,839,14:43,13,47,15,26,36.6
726,Colton Sissons\sissoco01,26,NSH,C,46,7,6,13,-3,18,0.7,6,0,1,2,6,0,0,43,16.3,655,14:14,31,71,249,241,50.8
727,Jeff Skinner\skinnje01,27,BUF,LW,49,11,9,20,-16,16,1.2,11,0,0,1,6,3,0,149,7.4,815,16:38,11,19,27,42,39.1
728,Brady Skjei\skjeibr01,25,NYR,D,57,7,15,22,-8,41,3.2,7,0,0,0,13,0,2,120,5.8,1182,20:44,83,97,0,0,
729,Jaccob Slavin\slavija01,25,CAR,D,58,5,25,30,29,10,6.8,5,0,0,3,22,2,1,121,4.1,1337,23:03,89,35,0,0,
730,Brendan Smith\smithbr05,30,NYR,D,53,3,3,6,-12,60,0.4,2,0,1,0,2,0,1,37,8.1,533,10:04,27,76,1,0,100
731,Craig Smith\smithcr01,30,NSH,C,58,17,11,28,21,32,3.9,14,3,0,2,9,2,0,144,11.8,769,13:15,16,48,8,12,40
732,Dalton Smith\smithda03,27,BUF,LW,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,1,01:26,0,0,0,0,
733,Gemel Smith\smithge02,25,TBL,C,3,1,0,1,0,4,0.1,1,0,0,0,0,0,0,1,100,28,09:10,2,1,13,7,65
734,Givani Smith\smithgi01,21,DET,RW,21,2,1,3,-2,9,0.2,2,0,0,0,1,0,0,22,9.1,203,09:41,3,42,0,0,
735,Reilly Smith\smithre01,28,VEG,RW,61,23,23,46,10,20,5.7,18,3,2,4,19,2,2,154,14.9,1099,18:01,27,46,3,9,25
736,Zack Smith\smithza01,31,CHI,C,50,4,7,11,2,29,0.6,3,0,1,1,6,0,1,43,9.3,589,11:47,18,112,88,102,46.3
737,Vladimir Sobotka\sobotvl01,32,BUF,C,16,1,2,3,2,4,0.1,1,0,0,0,2,0,0,23,4.3,228,14:16,7,26,39,31,55.7
738,Carl Soderberg\soderca01,34,ARI,C,62,14,16,30,3,16,3.2,10,4,0,1,11,5,0,106,13.2,989,15:57,38,68,235,284,45.3
739,Marcus Sorensen\sorenma01,27,SJS,RW,55,6,6,12,-10,24,0.4,6,0,0,0,6,0,0,65,9.2,752,13:40,17,45,2,11,15.4
740,Carson Soucy\soucyca01,25,MIN,D,53,6,6,12,16,16,3.7,5,0,1,1,6,0,0,59,10.2,831,15:41,47,63,0,0,
741,Jason Spezza\spezzja01,36,TOR,C,48,9,13,22,-4,16,2,7,2,0,0,8,5,0,62,14.5,517,10:47,17,10,180,157,53.4
742,Daniel Sprong\spronda01,22,ANA,RW,8,1,1,2,-2,0,0.1,0,1,0,0,1,0,0,17,5.9,113,14:06,3,4,0,0,
743,Jared Spurgeon\spurgja01,30,MIN,D,51,7,18,25,-9,14,3.5,4,3,0,1,10,8,0,95,7.4,1147,22:30,80,44,0,1,0
744,Eric Staal\staaler01,35,MIN,C,58,17,24,41,-10,28,3.8,12,5,0,5,16,8,0,102,16.7,994,17:08,19,22,441,419,51.3
745,Jordan Staal\staaljo01,31,CAR,C,58,7,13,20,1,32,1,5,2,0,0,12,1,0,109,6.4,1037,17:53,30,120,603,506,54.4
746,Marc Staal\staalma01,33,NYR,D,40,2,6,8,6,16,2,2,0,0,0,6,0,0,34,5.9,707,17:40,63,60,0,0,
747,Steven Stamkos\stamkst01,29,TBL,C,54,27,35,62,15,22,7.6,19,8,0,6,26,9,0,167,16.2,999,18:30,38,66,350,284,55.2
748,Paul Stastny\stastpa01,34,VEG,C,61,16,16,32,1,22,3.2,11,5,0,3,11,4,1,116,13.8,1040,17:03,27,59,529,436,54.8
749,Troy Stecher\stechtr01,25,VAN,D,59,3,7,10,3,32,2.3,3,0,0,0,7,0,0,71,4.2,888,15:03,58,60,0,0,
750,Sam Steel\steelsa01,21,ANA,C,54,5,15,20,-8,20,1,4,1,0,1,9,6,0,70,7.1,850,15:44,23,20,314,301,51.1
751,Alex Steen\steenal01,35,STL,C,43,6,10,16,5,10,1.4,6,0,0,0,9,1,0,61,9.8,606,14:06,38,18,4,5,44.4
752,Kevin Stenlund\stenlke01,23,CBJ,C,22,5,2,7,0,6,0.8,2,3,0,1,1,1,0,37,13.5,305,13:53,19,14,26,40,39.4
753,Derek Stepan\stepade01,29,ARI,C,62,9,16,25,-5,14,1.7,7,1,1,2,10,6,0,137,6.6,1098,17:43,44,37,505,551,47.8
754,Mitchell Stephens\stephmi01,22,TBL,C,32,2,3,5,-5,8,-0.1,2,0,0,0,3,0,0,38,5.3,338,10:33,7,27,165,135,55
755,Chandler Stephenson\stephch02,25,TOT,C,56,11,11,22,22,16,2.9,8,1,2,5,9,1,1,54,20.4,791,14:07,29,48,208,245,45.9
755,Chandler Stephenson\stephch02,25,VEG,C,32,8,10,18,17,10,2.5,5,1,2,3,9,1,0,36,22.2,507,15:50,17,28,130,168,43.6
755,Chandler Stephenson\stephch02,25,WSH,C,24,3,1,4,5,6,0.4,3,0,0,2,0,0,1,18,16.7,284,11:50,12,20,78,77,50.3
756,Chris Stewart\stewach02,32,PHI,RW,16,0,1,1,-7,21,-0.4,0,0,0,0,1,0,0,5,0,124,07:47,4,35,0,0,
757,Riley Stillman\stillri01,21,FLA,D,25,0,4,4,-1,7,0.5,0,0,0,0,4,0,0,35,0,498,19:55,48,41,0,0,
758,Mark Stone\stonema01,27,VEG,RW,61,20,37,57,11,25,6.4,14,6,0,3,26,10,1,161,12.4,1188,19:28,43,53,16,29,35.6
759,Michael Stone\stonemi01,29,CGY,D,30,2,4,6,-4,14,1.1,2,0,0,0,4,0,0,50,4,485,16:09,51,45,0,0,
760,Anton Stralman\stralan01,33,FLA,D,59,5,14,19,-1,12,2.6,5,0,0,3,13,0,1,80,6.3,1247,21:09,83,59,0,0,
761,Ben Street\streebe01,32,NJD,C,3,0,1,1,1,0,0.1,0,0,0,0,1,0,0,4,0,24,08:08,0,3,5,6,45.5
762,Dylan Strome\stromdy01,22,CHI,C,47,10,21,31,0,14,2.8,8,2,0,1,16,5,0,72,13.9,763,16:14,23,17,212,256,45.3
763,Ryan Strome\stromry01,26,NYR,C,58,14,36,50,16,40,5,13,1,0,3,22,13,1,114,12.3,1137,19:36,24,34,435,466,48.3
764,Jack Studnicka\studnja01,20,BOS,C,2,0,1,1,2,2,0.1,0,0,0,0,1,0,0,3,0,24,12:08,0,2,9,6,60
765,Nico Sturm\sturmni01,24,MIN,C,6,0,2,2,2,0,0.2,0,0,0,0,2,0,0,2,0,71,11:54,5,6,26,23,53.1
766,P.K. Subban\subbapk01,30,NJD,D,57,6,7,13,-15,61,2.1,5,1,0,2,6,1,0,134,4.5,1253,21:59,72,72,0,0,
767,C.J. Suess\frankcl01,25,WPG,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,6,06:26,0,1,1,3,25
768,Oskar Sundqvist\sundqos01,25,STL,C,45,11,9,20,2,20,2.1,10,0,1,1,9,0,0,76,14.5,649,14:25,22,49,74,100,42.5
769,Antti Suomela\suomean01,25,SJS,C,14,0,5,5,1,2,0.3,0,0,0,0,5,0,0,11,0,133,09:30,5,16,34,32,51.5
770,Ryan Suter\suterry01,35,MIN,D,58,7,32,39,-13,10,4.8,5,2,0,2,17,15,0,93,7.5,1439,00:48,76,45,0,0,
771,Brandon Sutter\suttebr03,30,VAN,C,34,8,8,16,5,23,1.7,7,1,0,0,6,2,0,66,12.1,507,14:55,12,12,139,151,47.9
772,Nick Suzuki\suzukni01,20,MTL,C,61,12,26,38,-6,6,3.3,7,5,0,1,19,7,0,111,10.8,973,15:57,29,53,249,279,47.2
773,Andrei Svechnikov\svechan01,19,CAR,RW,58,23,31,54,16,42,6.6,18,5,0,4,21,10,0,154,14.9,966,16:40,26,96,0,1,0
774,Evgeny Svechnikov\svechev01,23,DET,LW,4,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,7,0,33,08:20,1,5,0,0,
775,Jordan Szwarz\szwarjo01,28,OTT,RW,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,15,04:55,1,6,4,5,44.4
776,Brandon Tanev\tanevbr01,28,PIT,LW,57,11,14,25,4,12,2.3,9,0,2,4,12,1,1,84,13.1,848,14:53,59,210,4,9,30.8
777,Chris Tanev\tanevch01,30,VAN,D,59,2,17,19,6,32,3.6,2,0,0,1,15,1,1,36,5.6,1170,19:49,134,31,0,0,
778,Vladimir Tarasenko\tarasvl01,28,STL,RW,10,3,7,10,-2,0,1,2,1,0,0,5,2,0,26,11.5,162,16:11,7,17,0,0,
779,Tomas Tatar\tatarto01,29,MTL,C,61,21,32,53,-3,36,5.9,13,8,0,1,27,5,0,147,14.3,1001,16:25,20,75,9,15,37.5
780,John Tavares\tavarjo01,29,TOR,C,53,23,28,51,-5,20,5.3,17,6,0,4,17,11,0,169,13.6,1039,19:37,25,26,523,429,54.9
781,Matt Tennyson\tennyma01,29,NJD,D,19,0,3,3,-1,6,0.5,0,0,0,0,3,0,0,12,0,232,12:13,17,27,0,0,
782,Teuvo Teravainen\teravte01,25,CAR,F,58,12,44,56,22,8,5.7,8,3,1,0,26,16,2,152,7.9,1111,19:10,25,15,20,22,47.6
783,Troy Terry\terrytr01,22,ANA,C,44,4,10,14,-7,6,0.6,4,0,0,0,8,2,0,70,5.7,633,14:23,9,3,2,5,28.6
784,Alexandre Texier\texieal01,20,CBJ,C,36,6,7,13,3,10,1.4,6,0,0,1,6,1,0,49,12.2,459,12:45,7,20,22,41,34.9
785,Shea Theodore\theodsh01,24,VEG,D,61,8,31,39,10,25,6.7,7,0,1,1,17,14,0,178,4.5,1351,22:08,56,20,0,0,
786,Robert Thomas\thomaro01,20,STL,C,54,9,25,34,5,12,3.2,8,1,0,2,22,3,0,65,13.8,777,14:24,11,11,84,120,41.2
787,Nate Thompson\thompna01,35,MTL,C,60,3,10,13,-2,19,0.3,3,0,0,1,9,0,1,59,5.1,766,12:46,41,100,385,310,55.4
788,Tage Thompson\thompta01,22,BUF,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,06:59,0,2,0,0,
789,Joe Thornton\thornjo01,40,SJS,C,59,2,23,25,-13,32,0.9,1,1,0,1,19,4,0,61,3.3,898,15:13,24,15,265,276,49
790,Chris Tierney\tiernch01,25,OTT,C,59,10,20,30,-2,12,2.4,5,1,4,1,20,0,0,80,12.5,1001,16:58,30,39,435,405,51.8
791,Dmytro Timashov\timasdm01,23,TOR,LW,38,4,5,9,0,14,0.7,4,0,0,1,5,0,0,33,12.1,306,08:03,10,80,0,0,
792,Conor Timmins\timmico01,21,COL,D,2,0,0,0,2,0,0.2,0,0,0,0,0,0,0,1,0,21,10:25,0,0,0,0,
793,Jarred Tinordi\tinorja01,27,NSH,D,17,1,2,3,3,30,0.7,1,0,0,0,1,0,1,15,6.7,282,16:37,20,55,0,0,
794,Brady Tkachuk\tkachbr01,20,OTT,LW,59,18,18,36,-15,71,3.2,16,2,0,2,13,5,0,218,8.3,1108,18:47,36,244,117,132,47
795,Matthew Tkachuk\tkachma01,22,CGY,LW,60,20,30,50,-9,65,5.2,15,5,0,4,19,11,0,169,11.8,1098,18:18,17,109,0,4,0
796,Devon Toews\toewsde01,25,NYI,D,58,5,17,22,5,14,4.4,4,1,0,1,13,4,0,102,4.9,1183,20:24,65,43,0,0,
797,Jonathan Toews\toewsjo01,31,CHI,C,59,16,34,50,-5,46,4.4,14,1,1,3,29,5,0,139,11.5,1162,19:41,32,53,711,535,57.1
798,Tyler Toffoli\toffoty01,27,LAK,C,58,18,16,34,-4,16,3.7,14,4,0,3,13,3,0,165,10.9,963,16:37,14,33,4,9,30.8
