Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
553,Trevor Moore\mooretr01,24,TOT,LW,31,265,258,50.7,-2.8,191,197,49.2,-2.7,7.6,89.9,97.4,49.7,50.3,12:55,10:23,13,17,-1.2,78,59
554,Samuel Morin\morinsa01,24,PHI,D,1,9,12,42.9,-14.1,5,12,29.4,-24,0,90,90,83.3,16.7,12:32,12:32,1,2,-1.6,0,
555,Josh Morrissey\morrijo04,24,WPG,D,58,909,918,49.8,1.2,653,730,47.2,-0.7,11.8,88.8,100.5,52.9,47.1,23:01,19:56,19,40,-9,231,45.9
556,Tyler Motte\mottety01,24,VAN,C,24,152,260,36.9,-11.7,121,187,39.3,-10,7.5,93.3,100.8,23.3,76.7,12:46,10:50,11,5,-6.2,47,55.3
557,Mirco Mueller\muellmi01,24,NJD,D,39,381,517,42.4,-4.1,294,374,44,-3.9,11.2,87.7,98.9,42,58,16:40,14:17,6,17,-5.4,56,42.9
558,Connor Murphy\murphco02,26,CHI,D,47,638,627,50.4,1.8,457,445,50.7,2.5,12.8,87.4,100.2,45.9,54.1,21:02,18:15,15,38,-1.2,194,49
559,Ryan Murray\murrary01,26,CBJ,D,24,282,325,46.5,-5,210,224,48.4,-5,8.3,89.4,97.7,46.3,53.7,19:43,16:29,5,14,1.1,59,49.2
560,Jake Muzzin\muzzija01,30,TOR,D,49,796,721,52.5,0.1,589,520,53.1,2.1,12.8,87.1,99.9,48,52,21:41,18:39,23,60,2.4,175,50.3
561,Philippe Myers\myersph01,23,PHI,D,41,486,452,51.8,0.4,363,341,51.6,0.8,14,89.7,103.7,54.9,45.1,16:56,16:14,16,29,2.5,140,45
562,Tyler Myers\myersty01,29,VAN,D,59,849,898,48.6,0.5,639,666,49,0.3,9.7,89.4,99.1,52.3,47.7,21:24,18:07,34,36,-2.4,237,50.6
563,Vladislav Namestnikov\namesvl01,27,TOT,C,55,438,552,44.2,-3.2,324,408,44.3,-3.8,11.3,86.9,98.1,43.5,56.5,15:04,11:22,21,25,-5.3,148,58.1
564,Riley Nash\nashri02,30,CBJ,C,55,345,438,44.1,-5.1,264,302,46.6,-4.2,9.8,92.7,102.5,46.9,53.1,11:34,10:10,22,9,4.5,80,70
565,James Neal\nealja01,32,EDM,LW,50,508,504,50.2,3.7,385,367,51.2,3.8,8.6,86.9,95.4,63.7,36.3,16:39,13:11,21,25,0.6,202,53
566,Martin Necas\necasma01,21,CAR,C,54,516,458,53,-1.8,381,339,52.9,-0.8,10.2,90.4,100.6,52.7,47.3,14:07,12:14,19,33,-3.6,137,54.7
567,Brock Nelson\nelsobr01,28,NYI,C,58,646,782,45.2,-1.7,468,562,45.4,-1.9,14.3,88.4,102.7,46.5,53.5,18:51,15:00,19,46,0.6,234,64.5
568,Patrik Nemeth\nemetpa01,27,DET,D,55,673,762,46.9,1.2,499,549,47.6,2,8.7,89.3,98,38.9,61.1,22:04,18:39,7,47,-6.6,142,50.7
569,Aaron Ness\nessaa01,29,ARI,D,21,193,199,49.2,0.5,148,145,50.5,2.5,9.6,88.3,98,56.2,43.8,12:34,11:58,0,7,1.2,24,45.8
570,Valeri Nichushkin\nichuva01,24,COL,RW,53,494,440,52.9,2.1,339,314,51.9,1,15.3,93.5,108.9,45.7,54.3,13:33,11:06,30,12,5.4,136,65.4
571,Nino Niederreiter\niedeni01,27,CAR,RW,57,649,504,56.3,2.8,477,380,55.7,2.7,8.8,88.8,97.6,51.2,48.8,14:57,12:56,30,35,5.3,172,54.1
