team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PHI,2012,PHI,PHI,Team Level,4on5,48,0.15,0.16,0.19,16449.0,41.7,3.98,1.89,5.66,1.23,11.55,36.7,3.87,3.98,3.87,46.0,15.0,10.0,71.0,2.0,2.0,0.0,6.0,2.0,10.0,39.0,44.0,59.0,11.0,22.0,141.0,72.0,30.0,35.0,42.0,15.0,4.0,0.93,1.82,1.23,0.0,2.0,0.0,71.0,61.0,61.0,34.0,0.43,0.4,0.85,3.55,3.55,3.55,187.54,22.21,16.76,38.11,6.05,117.65,62.23,21.1,22.21,21.1,188.0,75.0,112.0,375.0,23.0,7.0,3.0,44.0,6.0,101.0,82.0,165.0,240.0,5.0,10.0,146.0,19.0,13.0,38.0,189.0,49.0,25.0,4.71,5.63,11.87,3.0,6.0,14.0,375.0,263.0,263.0,6.0,4.32,1.22,1.22,25.31,25.31,24.28
PHI,2012,PHI,PHI,Team Level,5on4,48,0.91,0.88,0.88,16095.0,232.04,32.87,20.2,47.69,7.86,136.35,74.03,30.43,32.87,30.43,238.0,81.0,114.0,433.0,34.0,25.0,5.0,54.0,10.0,104.0,92.0,204.0,285.0,24.0,56.0,168.0,26.0,15.0,37.0,189.0,90.0,40.0,4.13,11.37,17.36,6.0,10.0,18.0,433.0,319.0,319.0,6.0,5.29,6.67,6.55,31.6,31.6,30.32,30.59,3.42,1.59,4.12,0.86,8.98,23.02,3.3,3.42,3.3,32.0,10.0,15.0,57.0,2.0,1.0,0.0,6.0,1.0,9.0,23.0,30.0,40.0,11.0,28.0,143.0,43.0,34.0,47.0,26.0,12.0,4.0,0.75,1.44,1.23,0.0,2.0,0.0,57.0,42.0,42.0,45.0,0.37,0.34,0.34,3.45,3.45,3.36
WPG,2012,WPG,WPG,Team Level,other,48,0.55,0.52,0.53,5123.0,88.22,14.8,6.06,17.16,2.72,46.35,33.92,14.25,14.8,14.25,86.0,35.0,39.0,160.0,16.0,6.0,3.0,16.0,4.0,47.0,32.0,70.0,105.0,1.0,2.0,58.0,35.0,16.0,9.0,73.0,31.0,17.0,2.35,3.89,8.56,1.0,6.0,9.0,160.0,121.0,121.0,4.0,1.72,1.67,2.3,14.21,14.21,13.87,75.95,12.1,5.2,14.6,2.62,43.14,29.4,11.61,12.1,11.61,74.0,34.0,38.0,146.0,13.0,5.0,1.0,13.0,1.0,37.0,39.0,61.0,95.0,3.0,6.0,80.0,26.0,17.0,16.0,66.0,30.0,12.0,2.23,3.65,6.22,2.0,4.0,7.0,146.0,108.0,108.0,6.0,1.51,1.43,1.43,12.12,12.12,11.77
WPG,2012,WPG,WPG,Team Level,all,48,0.5,0.5,0.5,175045.0,1423.91,121.85,93.51,330.07,46.52,799.37,606.7,117.89,122.16,118.18,1390.0,608.0,743.0,2741.0,126.0,95.0,17.0,287.0,61.0,702.0,727.0,1264.0,1872.0,183.0,447.0,1344.0,1411.0,289.0,378.0,1550.0,349.0,99.0,44.83,43.26,33.77,38.0,51.0,37.0,2739.92,1998.0,2000.95,274.0,20.38,18.72,19.35,122.88,123.02,121.01,1433.43,123.77,96.2,334.85,47.28,809.29,594.66,120.16,124.23,120.6,1424.0,583.0,713.0,2720.0,141.0,107.0,25.0,301.0,47.0,660.0,751.0,1283.0,1866.0,191.0,468.0,1402.0,1208.0,289.0,425.0,1526.0,383.0,98.0,44.61,46.13,33.04,50.0,52.0,39.0,2733.58,2007.0,2013.39,291.0,20.97,20.03,20.78,123.91,124.35,122.37
WPG,2012,WPG,WPG,Team Level,5on5,48,0.49,0.49,0.49,143686.0,1140.5,87.56,71.85,272.91,37.41,640.88,489.38,85.35,87.88,85.64,1098.0,502.0,599.0,2199.0,91.0,77.0,13.0,231.0,48.0,565.0,588.0,1007.0,1509.0,161.0,398.0,1062.0,1287.0,227.0,318.0,1267.0,274.0,59.0,37.16,34.17,16.22,31.0,41.0,19.0,2197.92,1600.0,1602.95,243.0,14.71,14.37,14.37,87.9,88.04,86.84,1176.81,91.55,76.45,285.08,38.87,662.02,492.02,89.14,92.01,89.58,1161.0,485.0,597.0,2243.0,103.0,91.0,22.0,259.0,43.0,539.0,611.0,1058.0,1543.0,163.0,401.0,1099.0,1096.0,236.0,343.0,1281.0,300.0,65.0,37.71,35.93,17.9,42.0,40.0,21.0,2256.58,1646.0,1652.39,239.0,15.68,16.67,17.66,89.58,90.03,89.0
WPG,2012,WPG,WPG,Team Level,4on5,48,0.15,0.16,0.18,12238.0,33.11,3.13,1.59,4.12,0.91,9.61,26.63,3.13,3.13,3.13,36.0,10.0,9.0,55.0,1.0,0.0,0.0,4.0,1.0,6.0,34.0,35.0,45.0,11.0,22.0,103.0,52.0,34.0,24.0,31.0,13.0,2.0,0.89,1.56,0.69,1.0,0.0,0.0,55.0,46.0,46.0,23.0,0.37,0.0,0.0,3.5,3.5,3.5,152.32,17.82,13.33,31.61,5.02,95.58,50.64,17.12,17.82,17.12,162.0,52.0,74.0,288.0,22.0,11.0,2.0,26.0,1.0,77.0,77.0,140.0,192.0,13.0,26.0,105.0,28.0,6.0,30.0,149.0,46.0,19.0,3.83,5.77,8.21,6.0,6.0,10.0,288.0,214.0,214.0,10.0,3.5,1.94,1.7,19.63,19.63,19.03
WPG,2012,WPG,WPG,Team Level,5on4,48,0.88,0.88,0.86,13998.0,162.09,16.36,14.0,35.87,5.47,102.53,56.77,15.16,16.36,15.16,170.0,61.0,96.0,327.0,18.0,12.0,1.0,36.0,8.0,84.0,73.0,152.0,213.0,10.0,25.0,121.0,37.0,12.0,27.0,179.0,31.0,21.0,4.43,3.63,8.3,5.0,4.0,9.0,327.0,231.0,231.0,4.0,3.59,2.67,2.67,17.27,17.27,16.8,28.34,2.3,1.21,3.56,0.78,8.55,22.59,2.29,2.3,2.29,27.0,12.0,4.0,43.0,3.0,0.0,0.0,3.0,2.0,7.0,24.0,24.0,36.0,12.0,35.0,118.0,58.0,30.0,36.0,30.0,7.0,2.0,0.82,0.77,0.71,0.0,2.0,1.0,43.0,39.0,39.0,36.0,0.28,0.0,0.0,2.58,2.58,2.56
MTL,2012,MTL,MTL,Team Level,other,48,0.51,0.55,0.51,7529.0,92.69,13.54,6.67,18.59,3.08,51.19,36.92,13.19,13.54,13.19,95.0,35.0,55.0,185.0,14.0,7.0,3.0,17.0,2.0,50.0,40.0,81.0,116.0,7.0,14.0,91.0,29.0,18.0,13.0,99.0,14.0,17.0,2.97,1.77,8.81,1.0,2.0,11.0,185.0,130.0,130.0,8.0,1.97,2.8,2.8,12.72,12.72,12.51,90.46,13.19,5.94,18.53,3.23,47.73,36.37,12.74,13.19,12.74,88.0,37.0,26.0,151.0,15.0,4.0,2.0,14.0,4.0,47.0,41.0,73.0,110.0,9.0,18.0,100.0,35.0,13.0,16.0,84.0,29.0,12.0,2.56,3.76,6.86,5.0,2.0,8.0,151.0,125.0,125.0,12.0,1.72,1.62,1.62,13.29,13.29,12.98
MTL,2012,MTL,MTL,Team Level,all,48,0.54,0.53,0.53,175072.0,1460.91,131.71,100.26,348.99,48.38,818.05,600.61,124.7,132.78,125.75,1468.0,580.0,761.0,2809.0,146.0,122.0,38.0,344.0,59.0,654.0,723.0,1322.0,1902.0,228.0,542.0,1499.0,1067.0,260.0,394.0,1588.0,323.0,137.0,42.19,39.32,50.19,48.0,40.0,58.0,2828.35,2048.0,2065.84,319.0,22.46,27.95,28.74,125.43,126.42,122.16,1269.58,110.44,82.21,296.39,41.63,711.46,543.87,105.48,110.07,105.1,1294.0,492.0,702.0,2488.0,124.0,69.0,18.0,283.0,46.0,566.0,698.0,1170.0,1662.0,256.0,587.0,1514.0,1310.0,245.0,486.0,1397.0,295.0,94.0,37.69,35.86,36.89,40.0,44.0,40.0,2466.88,1786.0,1772.87,371.0,18.29,16.64,17.27,111.45,110.9,107.99
MTL,2012,MTL,MTL,Team Level,5on5,48,0.55,0.53,0.53,133934.0,1100.73,81.55,70.5,274.84,36.46,615.5,461.14,78.78,82.64,79.84,1097.0,443.0,587.0,2127.0,98.0,84.0,25.0,266.0,46.0,481.0,565.0,999.0,1442.0,183.0,445.0,1110.0,955.0,194.0,306.0,1222.0,249.0,69.0,32.81,30.41,18.34,39.0,33.0,26.0,2146.35,1540.0,1557.84,260.0,14.45,16.24,17.46,78.54,79.52,78.28,952.89,66.09,58.45,234.55,31.18,536.01,413.72,64.57,65.73,64.2,976.0,364.0,557.0,1897.0,77.0,50.0,13.0,230.0,33.0,414.0,536.0,899.0,1263.0,214.0,497.0,1100.0,1161.0,179.0,393.0,1097.0,200.0,43.0,29.75,24.06,12.29,31.0,34.0,12.0,1875.88,1340.0,1326.87,305.0,11.95,10.35,10.77,67.28,66.71,65.88
MTL,2012,MTL,MTL,Team Level,4on5,48,0.08,0.13,0.13,15476.0,28.6,2.41,1.27,3.42,0.79,8.08,24.04,2.3,2.41,2.3,29.0,11.0,14.0,54.0,0.0,1.0,0.0,6.0,3.0,8.0,22.0,29.0,40.0,13.0,29.0,132.0,52.0,27.0,45.0,29.0,9.0,2.0,0.72,1.03,0.66,0.0,0.0,0.0,54.0,40.0,40.0,45.0,0.29,0.36,0.36,2.34,2.34,2.34,189.92,28.02,16.3,38.13,6.2,116.94,63.42,25.04,28.02,25.04,189.0,80.0,105.0,374.0,30.0,14.0,3.0,36.0,6.0,94.0,89.0,159.0,239.0,18.0,39.0,146.0,36.0,16.0,26.0,175.0,58.0,36.0,4.33,6.93,16.76,4.0,8.0,18.0,374.0,269.0,269.0,4.0,4.26,4.6,4.81,27.48,27.48,25.7
MTL,2012,MTL,MTL,Team Level,5on4,48,0.92,0.87,0.87,18133.0,238.89,34.2,21.82,52.13,8.06,143.27,78.51,30.43,34.2,30.43,247.0,91.0,105.0,443.0,34.0,30.0,10.0,55.0,8.0,115.0,96.0,213.0,304.0,25.0,54.0,166.0,31.0,21.0,30.0,238.0,51.0,49.0,5.69,6.13,22.39,8.0,5.0,21.0,443.0,338.0,338.0,6.0,5.75,8.55,8.12,31.84,31.84,29.04,36.31,3.13,1.51,5.18,1.03,10.78,30.36,3.13,3.13,3.13,41.0,11.0,14.0,66.0,2.0,1.0,0.0,3.0,3.0,11.0,32.0,39.0,50.0,15.0,33.0,168.0,78.0,37.0,51.0,41.0,8.0,3.0,1.04,1.1,0.99,0.0,0.0,2.0,66.0,52.0,52.0,50.0,0.36,0.07,0.07,3.42,3.42,3.42
N.J,2012,N.J,N.J,Team Level,other,48,0.53,0.58,0.58,6894.0,110.88,16.88,7.82,22.11,4.11,59.87,42.21,16.18,16.88,16.18,103.0,50.0,57.0,210.0,12.0,7.0,1.0,19.0,4.0,43.0,68.0,91.0,141.0,10.0,18.0,89.0,35.0,12.0,17.0,94.0,40.0,19.0,3.36,4.95,8.56,1.0,3.0,8.0,210.0,153.0,153.0,8.0,2.28,2.02,2.02,17.13,17.13,16.6,81.75,15.04,5.47,15.14,2.57,41.87,31.91,14.85,15.04,14.85,80.0,32.0,41.0,153.0,15.0,5.0,3.0,15.0,3.0,34.0,40.0,65.0,97.0,8.0,16.0,94.0,32.0,23.0,17.0,68.0,27.0,17.0,2.49,3.05,9.5,2.0,3.0,10.0,153.0,112.0,112.0,7.0,1.52,1.95,1.95,14.62,14.62,14.52
N.J,2012,N.J,N.J,Team Level,all,48,0.54,0.56,0.56,176265.0,1363.46,123.95,95.46,304.89,45.96,780.66,569.16,120.3,123.83,120.2,1363.0,558.0,645.0,2566.0,110.0,81.0,13.0,317.0,45.0,566.0,802.0,1253.0,1811.0,206.0,465.0,1339.0,892.0,297.0,334.0,1438.0,377.0,106.0,42.65,45.12,36.18,38.0,38.0,34.0,2554.34,1921.0,1911.54,161.0,21.31,18.13,19.44,125.76,125.72,123.29,1073.92,105.75,70.48,236.73,34.75,585.04,455.24,103.08,106.34,103.66,1110.0,378.0,515.0,2003.0,122.0,63.0,17.0,248.0,41.0,415.0,599.0,988.0,1366.0,223.0,491.0,1440.0,1143.0,302.0,349.0,1095.0,295.0,98.0,33.14,35.01,37.6,36.0,40.0,46.0,2016.87,1488.0,1500.7,200.0,15.56,16.23,16.75,104.56,105.21,103.68
N.J,2012,N.J,N.J,Team Level,5on5,48,0.56,0.56,0.56,138769.0,1004.37,81.16,67.22,233.58,33.12,578.87,428.05,79.31,81.04,79.2,1002.0,420.0,479.0,1901.0,65.0,59.0,8.0,250.0,31.0,420.0,597.0,937.0,1357.0,173.0,398.0,988.0,800.0,220.0,251.0,1096.0,267.0,59.0,33.52,31.63,16.01,29.0,24.0,12.0,1889.34,1422.0,1412.54,125.0,13.79,12.65,13.34,81.62,81.58,80.52,813.32,64.95,50.88,188.85,26.39,445.61,354.31,63.54,65.54,64.12,843.0,288.0,368.0,1499.0,74.0,43.0,10.0,194.0,33.0,306.0,481.0,769.0,1057.0,186.0,421.0,1061.0,1043.0,234.0,255.0,874.0,208.0,49.0,26.57,24.67,13.7,30.0,25.0,19.0,1512.87,1131.0,1143.7,167.0,10.44,9.93,10.45,64.93,65.58,64.86
N.J,2012,N.J,N.J,Team Level,4on5,48,0.2,0.2,0.23,15165.0,45.84,5.37,2.54,6.02,1.29,13.72,32.06,5.26,5.37,5.26,47.0,14.0,14.0,75.0,10.0,1.0,0.0,5.0,2.0,7.0,36.0,37.0,51.0,4.0,8.0,106.0,41.0,56.0,25.0,38.0,15.0,8.0,1.11,1.99,2.27,3.0,4.0,3.0,75.0,61.0,61.0,22.0,0.59,0.27,0.27,5.69,5.69,5.58,147.47,22.1,12.44,28.82,4.91,88.74,46.99,21.15,22.1,21.15,153.0,51.0,98.0,302.0,27.0,14.0,3.0,35.0,5.0,66.0,57.0,126.0,177.0,17.0,32.0,162.0,23.0,9.0,54.0,128.0,49.0,27.0,3.36,5.91,12.83,2.0,10.0,15.0,302.0,204.0,204.0,6.0,3.22,4.04,4.04,21.27,21.27,20.56
N.J,2012,N.J,N.J,Team Level,5on4,48,0.85,0.89,0.87,15437.0,202.36,20.53,17.87,43.18,7.44,128.21,66.84,19.56,20.53,19.56,211.0,74.0,95.0,380.0,23.0,14.0,4.0,43.0,8.0,96.0,101.0,188.0,262.0,19.0,41.0,156.0,16.0,9.0,41.0,210.0,55.0,20.0,4.64,6.55,9.34,5.0,7.0,11.0,380.0,285.0,285.0,6.0,4.65,3.18,3.81,21.31,21.31,20.59,31.38,3.66,1.7,3.92,0.86,8.83,22.02,3.54,3.66,3.54,34.0,7.0,8.0,49.0,6.0,1.0,1.0,4.0,0.0,9.0,21.0,28.0,35.0,12.0,22.0,123.0,45.0,36.0,23.0,25.0,11.0,5.0,0.72,1.38,1.57,2.0,2.0,2.0,49.0,41.0,41.0,20.0,0.39,0.31,0.31,3.75,3.75,3.73
ANA,2012,ANA,ANA,Team Level,other,48,0.53,0.46,0.45,6569.0,65.94,14.34,4.48,11.91,2.02,33.41,25.83,14.01,14.34,14.01,67.0,25.0,34.0,126.0,13.0,3.0,1.0,17.0,2.0,27.0,30.0,54.0,79.0,3.0,6.0,59.0,21.0,15.0,8.0,51.0,23.0,18.0,1.4,2.98,9.97,0.0,3.0,10.0,126.0,92.0,92.0,3.0,1.27,1.5,1.27,14.34,14.34,14.09,79.89,12.77,5.6,15.41,2.67,42.69,32.87,12.49,12.77,12.49,78.0,34.0,36.0,148.0,10.0,4.0,0.0,19.0,5.0,37.0,37.0,68.0,102.0,5.0,8.0,93.0,22.0,15.0,18.0,70.0,27.0,15.0,2.52,3.28,6.98,2.0,3.0,5.0,148.0,112.0,112.0,5.0,1.62,0.76,0.76,13.63,13.63,13.37
ANA,2012,ANA,ANA,Team Level,all,48,0.51,0.48,0.49,176178.0,1337.97,120.74,93.25,297.49,43.21,745.55,570.77,117.57,121.49,118.3,1347.0,524.0,652.0,2523.0,134.0,79.0,19.0,311.0,43.0,627.0,677.0,1213.0,1737.0,188.0,455.0,1382.0,1149.0,280.0,379.0,1430.0,348.0,93.0,41.63,42.21,36.89,35.0,59.0,40.0,2535.72,1871.0,1879.33,213.0,20.59,15.65,15.69,125.63,126.3,124.27,1384.84,117.34,97.1,313.02,46.38,799.27,593.89,114.35,117.56,114.54,1340.0,627.0,776.0,2743.0,115.0,96.0,24.0,326.0,58.0,622.0,750.0,1225.0,1852.0,168.0,400.0,1525.0,1102.0,283.0,405.0,1531.0,344.0,92.0,43.3,41.6,32.44,43.0,41.0,31.0,2740.86,1967.0,1968.53,212.0,21.3,20.04,21.24,117.4,117.39,115.84
ANA,2012,ANA,ANA,Team Level,5on5,48,0.5,0.48,0.48,142564.0,1038.32,81.06,69.13,240.59,33.8,582.36,445.07,79.0,81.81,79.73,1041.0,411.0,534.0,1986.0,90.0,62.0,15.0,248.0,34.0,483.0,535.0,951.0,1362.0,174.0,425.0,1070.0,1067.0,221.0,308.0,1139.0,263.0,50.0,34.84,31.92,14.3,27.0,46.0,17.0,1998.72,1452.0,1460.33,180.0,14.27,12.06,12.11,83.22,83.88,82.85,1087.89,80.33,72.75,253.34,36.38,627.17,474.04,78.61,80.55,78.8,1040.0,504.0,619.0,2163.0,72.0,70.0,16.0,264.0,42.0,500.0,596.0,968.0,1472.0,139.0,341.0,1175.0,1015.0,225.0,322.0,1226.0,269.0,49.0,34.83,32.36,13.14,30.0,29.0,13.0,2160.86,1544.0,1545.53,184.0,14.9,13.85,14.27,80.97,80.95,80.03
ANA,2012,ANA,ANA,Team Level,4on5,48,0.15,0.16,0.19,14775.0,45.26,3.76,2.16,5.64,1.26,12.6,39.58,3.75,3.76,3.75,47.0,18.0,7.0,72.0,4.0,1.0,0.0,4.0,1.0,14.0,41.0,43.0,61.0,6.0,14.0,134.0,38.0,36.0,30.0,48.0,13.0,4.0,1.11,1.56,1.1,2.0,1.0,1.0,72.0,65.0,65.0,27.0,0.51,0.26,0.26,4.01,4.01,4.01,191.41,21.67,17.33,41.24,6.64,122.09,66.03,20.68,21.67,20.68,193.0,82.0,109.0,384.0,28.0,22.0,8.0,42.0,11.0,80.0,92.0,165.0,247.0,16.0,35.0,143.0,21.0,11.0,47.0,210.0,39.0,26.0,5.12,4.78,11.77,10.0,5.0,13.0,384.0,275.0,275.0,6.0,4.45,5.43,6.21,19.92,19.92,19.57
ANA,2012,ANA,ANA,Team Level,5on4,48,0.89,0.88,0.88,12270.0,188.44,21.57,17.47,39.36,6.13,117.17,60.3,20.8,21.57,20.8,192.0,70.0,77.0,339.0,27.0,13.0,3.0,42.0,6.0,103.0,71.0,165.0,235.0,5.0,10.0,119.0,23.0,8.0,33.0,192.0,49.0,21.0,4.28,5.77,11.53,6.0,9.0,12.0,339.0,262.0,262.0,3.0,4.55,1.83,2.06,24.06,24.06,23.32,25.66,2.57,1.42,3.04,0.7,7.31,20.96,2.56,2.57,2.56,29.0,7.0,12.0,48.0,5.0,0.0,0.0,1.0,0.0,5.0,25.0,24.0,31.0,8.0,16.0,114.0,44.0,32.0,18.0,25.0,9.0,2.0,0.84,1.17,0.55,1.0,4.0,0.0,48.0,36.0,36.0,17.0,0.32,0.0,0.0,2.88,2.88,2.88
EDM,2012,EDM,EDM,Team Level,other,48,0.46,0.51,0.49,6245.0,86.59,12.44,6.63,17.09,3.05,50.15,29.64,11.48,12.44,11.48,90.0,29.0,49.0,168.0,10.0,6.0,2.0,21.0,2.0,46.0,34.0,80.0,109.0,3.0,6.0,92.0,15.0,14.0,13.0,73.0,35.0,11.0,2.76,4.13,5.55,1.0,2.0,7.0,168.0,119.0,119.0,8.0,1.93,1.94,1.81,12.56,12.56,11.84,88.29,14.89,6.28,17.03,3.02,47.24,33.54,13.86,14.89,13.86,85.0,37.0,42.0,164.0,14.0,6.0,1.0,15.0,4.0,41.0,42.0,71.0,108.0,10.0,18.0,83.0,29.0,15.0,16.0,71.0,34.0,17.0,2.37,4.28,8.24,5.0,3.0,6.0,164.0,122.0,122.0,8.0,1.78,2.1,2.1,14.58,14.58,14.13
EDM,2012,EDM,EDM,Team Level,all,48,0.45,0.44,0.45,175422.0,1277.81,117.99,90.35,281.66,41.05,709.76,526.19,114.03,118.0,114.05,1285.0,482.0,576.0,2343.0,123.0,78.0,19.0,272.0,40.0,595.0,659.0,1162.0,1644.0,201.0,446.0,1267.0,1060.0,307.0,479.0,1315.0,365.0,87.0,41.41,44.55,32.03,42.0,42.0,39.0,2351.24,1767.0,1767.47,340.0,19.99,17.08,17.9,120.08,120.1,117.6,1577.03,146.14,110.25,352.56,50.63,879.15,651.27,141.01,147.2,142.04,1573.0,617.0,753.0,2943.0,131.0,104.0,18.0,325.0,44.0,699.0,887.0,1442.0,2059.0,193.0,428.0,1480.0,1040.0,391.0,397.0,1633.0,434.0,123.0,51.16,51.52,43.47,49.0,36.0,46.0,2956.17,2190.0,2202.31,235.0,24.32,22.78,22.99,147.46,148.31,145.11
EDM,2012,EDM,EDM,Team Level,5on5,48,0.44,0.45,0.45,137520.0,994.23,78.77,66.5,228.36,31.87,553.83,419.65,76.95,78.78,76.97,990.0,389.0,437.0,1816.0,80.0,59.0,13.0,217.0,27.0,468.0,528.0,910.0,1299.0,177.0,398.0,903.0,954.0,239.0,396.0,1071.0,266.0,42.0,34.48,32.73,11.56,37.0,31.0,12.0,1824.24,1379.0,1379.47,296.0,13.69,11.61,11.98,80.48,80.5,79.46,1212.36,100.39,80.49,281.01,38.87,669.49,507.75,97.7,101.45,98.73,1203.0,475.0,580.0,2258.0,90.0,77.0,11.0,259.0,37.0,526.0,689.0,1113.0,1588.0,168.0,378.0,1120.0,948.0,307.0,304.0,1274.0,333.0,71.0,41.38,39.35,19.67,40.0,30.0,20.0,2271.17,1678.0,1690.31,195.0,16.61,15.43,15.82,101.18,102.03,100.27
EDM,2012,EDM,EDM,Team Level,4on5,48,0.1,0.1,0.11,16625.0,29.5,2.86,1.45,3.85,0.94,9.06,22.84,2.76,2.86,2.76,33.0,8.0,12.0,53.0,4.0,3.0,1.0,3.0,0.0,4.0,27.0,29.0,37.0,9.0,18.0,119.0,77.0,39.0,32.0,29.0,8.0,4.0,0.78,0.94,1.14,2.0,1.0,1.0,53.0,41.0,41.0,31.0,0.34,0.5,0.5,2.7,2.7,2.7,239.93,26.86,21.59,49.98,7.67,151.72,81.19,25.64,26.86,25.64,251.0,88.0,119.0,458.0,26.0,19.0,5.0,46.0,2.0,129.0,117.0,225.0,313.0,9.0,20.0,163.0,19.0,15.0,46.0,255.0,54.0,30.0,6.5,6.33,14.03,4.0,3.0,19.0,458.0,339.0,339.0,1.0,5.49,4.58,4.4,27.94,27.94,26.95
EDM,2012,EDM,EDM,Team Level,5on4,48,0.86,0.83,0.82,15032.0,167.5,23.92,15.77,32.36,5.18,96.72,54.05,22.84,23.92,22.84,172.0,56.0,78.0,306.0,29.0,10.0,3.0,31.0,11.0,77.0,70.0,143.0,199.0,12.0,24.0,153.0,14.0,15.0,38.0,142.0,56.0,30.0,3.39,6.75,13.78,2.0,8.0,19.0,306.0,228.0,228.0,5.0,4.03,3.02,3.6,24.34,24.34,23.61,36.45,4.0,1.89,4.54,1.08,10.7,28.79,3.8,4.0,3.8,34.0,17.0,12.0,63.0,1.0,2.0,1.0,5.0,1.0,3.0,39.0,33.0,50.0,6.0,12.0,114.0,44.0,54.0,31.0,33.0,13.0,5.0,0.9,1.57,1.53,0.0,0.0,1.0,63.0,51.0,51.0,31.0,0.44,0.67,0.67,3.77,3.77,3.76
T.B,2012,T.B,T.B,Team Level,other,48,0.44,0.5,0.5,5763.0,73.18,15.83,5.53,13.09,2.44,40.83,23.28,15.02,15.83,15.02,77.0,24.0,32.0,133.0,21.0,6.0,4.0,12.0,0.0,34.0,28.0,56.0,80.0,7.0,14.0,84.0,22.0,15.0,17.0,43.0,38.0,20.0,1.97,4.54,9.32,3.0,7.0,11.0,133.0,101.0,101.0,4.0,1.64,2.0,2.63,14.84,14.84,14.51,73.96,20.17,4.94,13.26,2.51,36.75,24.37,19.13,20.17,19.13,76.0,26.0,29.0,131.0,21.0,5.0,3.0,20.0,2.0,29.0,25.0,55.0,81.0,4.0,8.0,74.0,20.0,10.0,10.0,45.0,29.0,28.0,1.62,4.04,14.51,1.0,6.0,14.0,131.0,102.0,102.0,4.0,1.47,2.1,2.29,19.34,19.34,18.36
T.B,2012,T.B,T.B,Team Level,all,48,0.47,0.47,0.47,174258.0,1308.2,125.78,92.92,290.66,42.21,738.22,536.22,121.95,125.83,121.98,1323.0,503.0,584.0,2410.0,147.0,77.0,28.0,294.0,33.0,542.0,733.0,1176.0,1679.0,212.0,517.0,1500.0,1105.0,316.0,396.0,1291.0,430.0,105.0,38.68,51.66,35.44,38.0,63.0,46.0,2393.51,1826.0,1814.62,211.0,20.53,17.79,19.51,126.79,126.54,124.44,1474.56,144.07,100.81,336.17,49.12,816.3,610.53,138.21,144.8,138.94,1451.0,606.0,680.0,2737.0,147.0,103.0,24.0,331.0,45.0,670.0,761.0,1304.0,1910.0,219.0,536.0,1432.0,1074.0,330.0,347.0,1514.0,413.0,130.0,44.83,49.84,49.39,45.0,48.0,54.0,2760.9,2057.0,2074.98,181.0,22.34,22.72,23.28,143.13,143.8,140.6
